instance,num_ants,alpha,beta,evaporation_rate,version,cost,duration
10_3_5_3.def,30,1.0,5.0,0.1,1,12457,58
10_5_8_5.def,30,5.0,1.0,0.1,1,11618,51
200_20_150_9_D5.def,30,1.0,1.0,0.5,1,95278,907
100_20_23_9_D1.def,30,1.0,1.0,0.5,1,52319,148
100_10_27_9_D2.def,30,1.0,1.0,0.9,1,45230,234
100_20_65_9.def,30,1.0,1.0,0.9,1,128042,154
200_10_50_9.def,30,5.0,1.0,0.9,1,256080,473
100_20_47_9.def,30,5.0,1.0,0.1,1,130143,128
200_40_45_9.def,30,5.0,1.0,0.5,1,279420,136
200_40_90_9.def,30,1.0,1.0,0.9,1,298726,157
100_5_48_9.def,30,1.0,1.0,0.5,1,195143,480
100_10_47_9.def,30,5.0,1.0,0.1,1,142962,252
15_9_12_9.def,30,1.0,1.0,0.9,1,18761,68
200_40_130_9_D4.def,30,1.0,1.0,0.9,1,103305,497
100_10_64_9.def,30,1.0,1.0,0.5,1,116566,257
200_10_84_9.def,30,1.0,1.0,0.9,1,228406,514
100_5_20_9_D3.def,30,1.0,1.0,0.9,1,41436,386
200_20_55_9.def,30,1.0,1.0,0.9,1,235765,231
200_20_97_9.def,30,1.0,1.0,0.9,1,280562,249
200_10_135_9_D6.def,30,1.0,1.0,0.5,1,106532,646
15_3_5_3.def,30,1.0,1.0,0.1,1,10703,197
15_6_10_6.def,30,1.0,1.0,0.9,1,15610,76
