instance,num_ants,alpha,beta,evaporation_rate,version,cost,duration
10_3_5_3.def,1,1.0,5.0,0.1,1,12974,109
10_3_5_3.def,1,1.0,5.0,0.1,2,10845,152
10_3_5_3.def,1,1.0,5.0,0.5,1,12734,129
10_3_5_3.def,1,1.0,5.0,0.5,2,10845,152
10_3_5_3.def,1,1.0,5.0,0.9,1,12746,96
10_3_5_3.def,1,1.0,5.0,0.9,2,10845,152
10_3_5_3.def,1,5.0,1.0,0.1,1,12974,109
10_3_5_3.def,1,5.0,1.0,0.1,2,10845,152
10_3_5_3.def,1,5.0,1.0,0.5,1,12811,80
10_3_5_3.def,1,5.0,1.0,0.5,2,10845,152
10_3_5_3.def,1,5.0,1.0,0.9,1,12367,110
10_3_5_3.def,1,5.0,1.0,0.9,2,10934,116
10_3_5_3.def,1,1.0,1.0,0.1,1,13017,89
10_3_5_3.def,1,1.0,1.0,0.1,2,10845,152
10_3_5_3.def,1,1.0,1.0,0.5,1,12721,83
10_3_5_3.def,1,1.0,1.0,0.5,2,10845,152
10_3_5_3.def,1,1.0,1.0,0.9,1,12335,110
10_3_5_3.def,1,1.0,1.0,0.9,2,10876,152
10_3_5_3.def,30,1.0,5.0,0.1,1,12457,58
10_3_5_3.def,30,1.0,5.0,0.1,2,10845,188
10_3_5_3.def,30,1.0,5.0,0.5,1,12348,75
10_3_5_3.def,30,1.0,5.0,0.5,2,10845,152
10_3_5_3.def,30,1.0,5.0,0.9,1,13082,74
10_3_5_3.def,30,1.0,5.0,0.9,2,10845,189
10_3_5_3.def,30,5.0,1.0,0.1,1,12557,73
10_3_5_3.def,30,5.0,1.0,0.1,2,10845,189
10_3_5_3.def,30,5.0,1.0,0.5,1,12619,58
10_3_5_3.def,30,5.0,1.0,0.5,2,10845,226
10_3_5_3.def,30,5.0,1.0,0.9,1,12990,73
10_3_5_3.def,30,5.0,1.0,0.9,2,10845,189
10_3_5_3.def,30,1.0,1.0,0.1,1,12162,70
10_3_5_3.def,30,1.0,1.0,0.1,2,10845,189
10_3_5_3.def,30,1.0,1.0,0.5,1,12453,73
10_3_5_3.def,30,1.0,1.0,0.5,2,10845,189
10_3_5_3.def,30,1.0,1.0,0.9,1,12830,73
10_3_5_3.def,30,1.0,1.0,0.9,2,10845,226
10_5_8_5.def,1,1.0,5.0,0.1,1,10832,118
10_5_8_5.def,1,1.0,5.0,0.1,2,9013,127
10_5_8_5.def,1,1.0,5.0,0.5,1,11618,61
10_5_8_5.def,1,1.0,5.0,0.5,2,9013,127
10_5_8_5.def,1,1.0,5.0,0.9,1,11618,61
10_5_8_5.def,1,1.0,5.0,0.9,2,9013,127
10_5_8_5.def,1,5.0,1.0,0.1,1,10832,119
10_5_8_5.def,1,5.0,1.0,0.1,2,9013,127
10_5_8_5.def,1,5.0,1.0,0.5,1,11618,61
10_5_8_5.def,1,5.0,1.0,0.5,2,9013,127
10_5_8_5.def,1,5.0,1.0,0.9,1,11618,61
10_5_8_5.def,1,5.0,1.0,0.9,2,9115,138
10_5_8_5.def,1,1.0,1.0,0.1,1,11618,67
10_5_8_5.def,1,1.0,1.0,0.1,2,9013,127
10_5_8_5.def,1,1.0,1.0,0.5,1,11618,87
10_5_8_5.def,1,1.0,1.0,0.5,2,9013,127
10_5_8_5.def,1,1.0,1.0,0.9,1,11618,87
10_5_8_5.def,1,1.0,1.0,0.9,2,9013,127
10_5_8_5.def,30,1.0,5.0,0.1,1,11618,57
10_5_8_5.def,30,1.0,5.0,0.1,2,9013,127
10_5_8_5.def,30,1.0,5.0,0.5,1,11618,51
10_5_8_5.def,30,1.0,5.0,0.5,2,9013,127
10_5_8_5.def,30,1.0,5.0,0.9,1,11618,51
10_5_8_5.def,30,1.0,5.0,0.9,2,9013,127
10_5_8_5.def,30,5.0,1.0,0.1,1,11618,51
10_5_8_5.def,30,5.0,1.0,0.1,2,9115,138
10_5_8_5.def,30,5.0,1.0,0.5,1,11618,51
10_5_8_5.def,30,5.0,1.0,0.5,2,9115,138
10_5_8_5.def,30,5.0,1.0,0.9,1,11618,51
10_5_8_5.def,30,5.0,1.0,0.9,2,9115,138
10_5_8_5.def,30,1.0,1.0,0.1,1,11618,51
10_5_8_5.def,30,1.0,1.0,0.1,2,9013,127
10_5_8_5.def,30,1.0,1.0,0.5,1,11618,51
10_5_8_5.def,30,1.0,1.0,0.5,2,9013,128
10_5_8_5.def,30,1.0,1.0,0.9,1,11618,51
10_5_8_5.def,30,1.0,1.0,0.9,2,9115,138
200_20_150_9_D5.def,1,1.0,5.0,0.1,1,91213,1044
200_20_150_9_D5.def,1,1.0,5.0,0.1,2,52542,2893
